transaction_id,account_id,amount,type,date
1,260,1987.48,payment,2025-11-13
2,68,2356.08,deposit,2025-04-03
3,85,703.2,deposit,2025-07-06
4,122,9178.4,deposit,2025-08-18
5,120,3129.21,transfer,2025-08-29
6,100,684.74,withdrawal,2025-10-20
7,226,11553.11,deposit,2025-07-15
8,258,14495.71,deposit,2025-04-13
9,71,71.14,withdrawal,2025-09-04
10,191,2135.65,payment,2025-09-22
11,64,102.2,withdrawal,2025-03-24
12,140,13584.33,deposit,2025-03-17
13,224,2839.51,payment,2025-04-24
14,231,931.86,withdrawal,2025-08-01
15,28,7555.01,deposit,2025-05-01
16,198,1127.86,payment,2025-01-15
17,164,2518.33,payment,2025-11-29
18,172,1419.12,transfer,2025-05-27
19,242,7600.47,transfer,2025-08-29
20,230,2718.04,payment,2025-01-10
21,132,8357.88,transfer,2025-10-08
22,271,1712.24,deposit,2025-05-28
23,122,139.41,withdrawal,2025-05-03
24,215,988.97,deposit,2025-09-13
25,275,1897.71,payment,2025-10-22
26,124,2948.16,transfer,2025-01-01
27,181,5728.1,transfer,2025-04-06
28,44,86.33,withdrawal,2025-09-27
29,279,1174.41,payment,2025-08-29
30,23,14716.54,deposit,2025-05-10
31,9,792.75,withdrawal,2025-06-26
32,124,2315.65,payment,2025-06-20
33,69,1060.14,payment,2025-06-23
34,90,14713.25,deposit,2025-09-03
35,94,677.85,transfer,2025-08-23
36,19,217.56,withdrawal,2025-04-13
37,22,934.7,withdrawal,2025-09-21
38,204,3837.04,deposit,2025-11-28
39,98,369.83,withdrawal,2025-01-25
40,170,141.99,withdrawal,2025-07-08
41,224,11162.45,deposit,2025-07-17
42,174,4987.22,transfer,2025-09-12
43,189,805.13,withdrawal,2025-08-06
44,41,9056.68,deposit,2025-04-03
45,280,334.79,withdrawal,2025-02-10
46,168,320.37,withdrawal,2025-11-05
47,219,6913.16,transfer,2025-06-29
48,229,2181.81,payment,2025-06-30
49,223,646.68,withdrawal,2025-01-30
50,39,5481.5,deposit,2025-12-14
51,82,432.62,payment,2025-11-08
52,225,383.06,payment,2025-05-01
53,188,395.2,withdrawal,2025-10-18
